source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter Web Client,When Obama took office in 2009 employer-provided premiums cost $13375. Today they are $18142. Thanks Obama.,10-20-2016 20:52:15,8819,18083,false,789207626143834112
Twitter for iPhone,Crooked Hillary promised 200k jobs in NY and FAILED. We'll create 25M jobs when I'm president and I will DELIVER! https://t.co/NgyCkEH7Xn,10-20-2016 20:30:01,12210,24708,false,789202030493634560
Twitter for iPhone,Crooked took MILLIONS from oppressive ME countries. Will she give the $$$ back? Probably not. Don't forget her slog… https://t.co/esLgql0Gg8,10-20-2016 20:26:01,12498,23724,false,789201022442962944
Twitter for iPhone,'Trump won the third debate'https://t.co/Wh52fyLNRz,10-20-2016 20:06:18,10714,26332,false,789196063819390976
Twitter for iPhone,UPCOMING RALLIES - JOIN ME!TOMORROWFletcher NC @ 12pm. https://t.co/uASvA4Gd4rSATURDAYCleveland OH @ 7pm. https://t.co/hre7Foxqpo,10-20-2016 19:51:59,5734,13010,false,789192459179790337
Twitter for iPhone,#ICYMI - OHIO RALLY!Watch here: https://t.co/0qAjfOcu6Y https://t.co/fpShHiXI31,10-20-2016 19:51:39,5141,13307,false,789192376002551810
Twitter for iPhone,On behalf of the entire family we would truly be honored to have your vote! Let's #MakeAmericaGreatAgain #EarlyVote https://t.co/tv7ihuvmfS,10-20-2016 19:27:22,24933,56726,false,789186263953715202
Twitter for iPhone,Want access to Crooked Hillary? Don't forget - it's going to cost you!#DrainTheSwamp #PayToPlay https://t.co/qjMBZkEnK9,10-20-2016 18:25:34,15249,29375,false,789170710270742528
Twitter for iPhone,Thank you Delaware County Ohio! Remember- either we WIN this election or we are going to LOSE this country!… https://t.co/ntDRTzYOqi,10-20-2016 17:33:10,11120,27050,false,789157526378012672
Twitter for iPhone,If elected POTUS - I will stop RADICAL ISLAMIC TERRORISM in this country! In order to do this we need to… https://t.co/45Vyk6z18m,10-20-2016 15:52:38,16317,38250,false,789132223479947264
Twitter for Android,Why didn't Hillary Clinton announce that she was inappropriately given the debate questions - she secretly used them! Crooked Hillary.,10-20-2016 14:55:50,19469,50126,false,789117930801926148
Twitter for iPhone,Thank you America! #MAGARasmussen National PollDonald Trump 43%Hillary Clinton 40% https://t.co/n4eZ3qpcjg,10-20-2016 13:27:41,20131,43996,false,789095747635572736
Twitter for iPhone,Just landed in Ohio. Thank you America- I am honored to win the final debate for our MOVEMENT. It is time to… https://t.co/ivdjRzL6wZ,10-20-2016 07:14:05,19190,44828,false,789001728632946688
Twitter for iPhone,Totally dishonest Donna Brazile chokes on the truth. Highly illegal! Watch: https://t.co/Rs5brj31bA https://t.co/FYoRo6MUjX,10-20-2016 04:27:27,17596,34939,false,788959791179767808
Twitter for iPhone,The Washington Times Presidential Debate Poll:TRUMP 77% (18290)CLINTON 17% (4100)#DrainTheSwamp #Debate https://t.co/wsgsf5nv6H,10-20-2016 04:18:06,21112,44541,false,788957439542587392
